product_id,product_name,category,price
PROD00118,Car Vacuum Lite 3000,HOME & KITCHEN,843.64
PROD00133,Toaster Oven Pro 7000,Toys & Games,1283.32
PROD00155,Resistance Bands Plus 2000,BOOKS,334.84
PROD00246,LEGO Set Basic 5000,Garden & Tools,1494.25
PROD00085,Pull-up Bar Basic 2000,Health & Beauty,590.19
PROD00347,Makeup Brush Set Elite 5000,Sports & Outdoors,1295.31
PROD00007,Makeup Brush Set Plus 3000,Sports & Outdoors,
PROD00478,OBD2 Scanner Basic 9000,Books,1306.77
PROD00183,Stand Mixer Elite 1000,Clothing,259.79
PROD00056,Model Kit Pro 9000,Clothing,1257.83
PROD00105,Tennis Racket Pro 9000,office supplies,509.78
PROD00219,Lawn Mower Blade Pro 4000,Toys & Games,291.23
PROD00321,Action Camera Lite 4000,Toys & Games,34.59
PROD00250,Desk Organizer Lite 6000,Automotive,867.58
PROD00238,Car Vacuum Elite 5000,Clothing,838.65
PROD00469,Compost Bin Max 3000,Home & Kitchen,1195.1
PROD00168,OBD2 Scanner Elite 1000,Toys & Games,13.93
PROD00358,Car Phone Mount Plus 2000,Toys & Games,700.71
PROD00212,Denim Jacket Plus 8000,Health & Beauty,412.28
PROD00495,Hiking Backpack Basic 9000,Automotive,1142.29
PROD00011,Mechanical Keyboard Basic 4000,Books,669.21
PROD00405,Dumbbell Set Basic 9000,Automotive,221.24
PROD00149,Sprinkler Head Elite 2000,Health & Beauty,566.94
PROD00451,USB-C Hub Lite 4000,Toys & Games,216.98
PROD00003,Knife Set Basic 9000,Clothing,1059.95
PROD00417,Foam Cleanser Basic 2000,Sports & Outdoors,863.98
PROD00504,Python for Data Science Max 5000,Toys & Games,261.03
PROD00186,Building Blocks Plus 8000,Home & Kitchen,1126.46
PROD00413,Coffee Maker Max 4000,Home & Kitchen,91.12
PROD00196,Building Blocks Lite 2000,Office Supplies,1076.29
PROD00515,Yoga Mat Lite 6000,Automotive,829.42
PROD00484,The Pragmatic Programmer Elite 1000,OFFICE SUPPLIES,530.71
PROD00502,Athletic Socks Lite 1000,Garden & Tools,600.4
PROD00353,Stand Mixer Max 4000,Electronics,1495.86
PROD00159,Raised Bed Kit Max 6000,home & kitchen,558.13
PROD00230,Monitor Stand Elite 6000,Books,1050.22
PROD00426,Remote Control Car Elite 7000,Clothing,560.96
PROD00087,Foam Cleanser Pro 2000,Garden & Tools,334.0
PROD00078,Car Phone Mount Max 6000,Books,535.27
PROD00132,Cotton T-Shirt Max 9000,Clothing,280.05
PROD00090,Cable Management Kit Pro 5000,Home & Kitchen,0.0
PROD00138,Floor Mats Lite 1000,Home & Kitchen,1206.48
PROD00031,Bluetooth Speaker Elite 1000,Home & Kitchen,170.98
PROD00080,Ergonomic Chair Plus 5000,Books,338.2
PROD00076,Model Kit Basic 7000,Toys & Games,1336.93
PROD00342,Yoga Pants Max 9000,Toys & Games,912.62
PROD00010,Monitor Stand Max 7000,Electronics,442.81
PROD00395,Hiking Backpack Elite 3000,Toys & Games,1297.79
PROD00209,Weed Puller Lite 9000,Electronics,1233.81
PROD00074,Python for Data Science Plus 4000,Office Supplies,34.57
PROD00210,Cable Management Kit Basic 1000,Health & Beauty,991.3
PROD00445,Yoga Mat Lite 4000,Clothing,737.49
PROD00433,Blender Elite 7000,Books,545.93
PROD00437,Sunscreen SPF50 Lite 7000,Garden & Tools,-99.99
PROD00079,Garden Hose Pro 2000,Garden & Tools,163.38
PROD00071,Bluetooth Speaker Lite 9000,Sports & Outdoors,775.3
PROD00205,Pull-up Bar Basic 3000,Toys & Games,286.74
PROD00073,Toaster Oven Elite 1000,Toys & Games,130.82
PROD00288,Floor Mats Lite 5000,AUTOMOTIVE,897.69
PROD00354,The Pragmatic Programmer Pro 3000,Sports & Outdoors,50.85
PROD00245,Jump Rope Elite 9000,sports & outdoors,1352.03
PROD00173,Stand Mixer Plus 9000,CLOTHING,1151.16
PROD00102,Cotton T-Shirt Plus 3000,Toys & Games,178.39
PROD00193,Stand Mixer Elite 2000,Home & Kitchen,950.78
PROD00514,Machine Learning Basics Basic 3000,Electronics,58.15
PROD00493,Coffee Maker Lite 8000,Clothing,705.29
PROD00141,Bluetooth Speaker Pro 4000,Electronics,0.0
PROD00235,Trekking Poles Pro 9000,Office Supplies,56.3
PROD00077,Hair Dryer Basic 3000,Automotive,366.85
PROD00427,,Sports & Outdoors,297.57
PROD00168,OBD2 Scanner Elite 1000,Toys & Games,13.93
PROD00303,Knife Set Basic 3000,Clothing,1018.22
PROD00069,Plant Pots Elite 8000,HEALTH & BEAUTY,1079.79
PROD00091,Portable Charger Max 7000,CLOTHING,627.16
PROD00064,SQL Performance Tuning Plus 4000,Toys & Games,1042.75
PROD00341,Wireless Earbuds Elite 6000,Electronics,132.33
PROD00454,Cloud Architecture Patterns Plus 2000,Home & Kitchen,422.28
PROD00312,Sneakers Plus 3000,Books,239.36
PROD00443,Air Fryer Lite 1000,Home & Kitchen,854.17
PROD00034,System Design Interview Basic 9000,Health & Beauty,379.43
PROD00083,Knife Set Basic 7000,Electronics,372.55
PROD00480,Stapler Max 6000,office supplies,943.22
PROD00001,4K Smart TV Max 1000,Toys & Games,947.58
PROD00012,Winter Coat Max 6000,Clothing,38.73
PROD00453,Coffee Maker Elite 7000,ELECTRONICS,282.78
PROD00023,Stand Mixer Elite 7000,Health & Beauty,244.27
PROD00477,Foam Cleanser Plus 9000,Office Supplies,6.97
PROD00094,Machine Learning Basics Elite 5000,Toys & Games,1046.46
PROD00177,Electric Toothbrush Pro 1000,Books,1205.68
PROD00174,Atomic Habits Plus 6000,Office Supplies,878.06
PROD00482,,Health & Beauty,233.15
PROD00248,Jump Starter Basic 6000,Toys & Games,1268.23
PROD00019,Sprinkler Head Basic 3000,CLOTHING,1148.06
PROD00229,Pruning Shears Elite 5000,Clothing,138.04
PROD00317,Shampoo & Conditioner Elite 1000,Clothing,686.02
PROD00016,Card Game Basic 9000,Office Supplies,739.69
PROD00434,Deep Work Lite 3000,Garden & Tools,1290.52
PROD00040,Notebook Set Elite 8000,Home & Kitchen,1185.19
PROD00518,Car Phone Mount Basic 5000,Clothing,246.05
PROD00282,Yoga Pants Elite 7000,Clothing,1486.06
PROD00047,Essential Oil Set Lite 9000,Electronics,1412.02
PROD00094,Machine Learning Basics Elite 5000,Toys & Games,1046.46
PROD00323,Knife Set Basic 3000,Clothing,916.88
PROD00376,Remote Control Car Lite 1000,Books,226.02
PROD00369,Raised Bed Kit Basic 1000,Books,112.12
PROD00011,Mechanical Keyboard Basic 4000,Books,669.21
PROD00385,Yoga Mat Pro 6000,Home & Kitchen,353.35
PROD00285,Resistance Bands Max 8000,Toys & Games,1062.84
PROD00348,Car Vacuum Basic 9000,Sports & Outdoors,1329.81
PROD00441,USB-C Hub Lite 8000,Clothing,1427.45
PROD00422,Athletic Socks Lite 9000,Health & Beauty,809.8
PROD00150,Monitor Stand Lite 7000,Toys & Games,1206.89
PROD00193,Stand Mixer Elite 2000,Home & Kitchen,950.78
PROD00511,Portable Charger Elite 1000,Toys & Games,767.71
PROD00366,Action Figure Plus 5000,Garden & Tools,1407.31
PROD00181,LED Monitor Elite 2000,Home & Kitchen,932.98
PROD00239,Lawn Mower Blade Max 8000,Office Supplies,64.23
PROD00408,OBD2 Scanner Lite 6000,Home & Kitchen,734.81
PROD00070,Desk Organizer Pro 5000,Automotive,1100.2
PROD00377,Vitamin D Supplement Pro 4000,Health & Beauty,1459.77
PROD00319,Pruning Shears Pro 5000,Office Supplies,1257.02
PROD00185,Jump Rope Pro 9000,Toys & Games,1336.26
PROD00466,,home & kitchen,135.99
PROD00154,Deep Work Plus 8000,Electronics,485.81
PROD00447,Protein Powder Elite 9000,Sports & Outdoors,349.35
PROD00226,Building Blocks Lite 7000,Electronics,1168.36
